ASVID,C1B1F1,C1B1F2,C1B1F3,C1B2F1,C1B2F2,C1B2F3,C1B3F1,C1B3F2,C1B3F3,C1B4F1,C1B4F2,C1B4F3,C1B5F1,C1B5F2,C1B5F3,C1B6F1,C1B6F2,C1B6F3,C1B7F1,C1B7F2,C1B7F3,C1B8F1,C1B8F2,C1B8F3,C1B9F1,C1B9F2,C1B10F1,C1B10F2,C1B10F3,C1B11F1,C1B11F2,C1B11F3,C1B12F1,C1B12F2,C1B12F3,C2B1F1,C2B1F2,C2B1F3,C2B2F1,C2B2F2,C2B2F3,C2B3F1,C2B3F2,C2B3F3,C2B4F1,C2B4F2,C2B4F3,C2B5F1,C2B5F2,C2B5F3
ASV358,0,0,0,0,0,0,72,20,36,0,0,15,0,0,0,0,0,0,0,2,0,0,0,103,0,0,0,0,0,1,0,0,2,13,0,151,105,45,66,35,136,141,24,221,73,115,7,20,22,122
ASV359,3,29,0,163,29,92,0,3,325,199,8,41,0,1,5,0,0,0,0,0,0,0,0,0,0,0,9,378,24,0,0,0,21,0,0,211,30,26,3,4,19,3,0,11,6,3,6,1,0,108
ASV360,14,0,3,0,0,0,12,52,0,200,57,53,59,59,0,0,124,0,0,38,196,166,66,152,64,0,7,9,0,0,0,0,0,151,0,0,13,0,0,6,0,0,50,48,0,0,6,0,2,0
ASV361,0,0,6,0,0,0,0,31,0,102,137,105,213,31,0,1,0,0,0,0,371,0,0,42,30,0,0,0,16,3,0,0,0,25,0,21,43,0,0,0,0,1,0,7,123,16,0,0,55,0
ASV362,13,58,1,43,4,11,50,38,0,0,22,9,49,2,25,0,32,67,11,6,21,45,35,81,8,76,43,61,22,49,36,0,0,9,0,31,46,42,93,0,2,15,0,19,1,14,2,29,35,158
ASV363,1,0,0,262,18,3,0,0,0,95,20,28,216,188,45,0,0,129,0,0,0,0,0,1,0,0,0,0,0,175,0,313,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV364,4,51,0,95,0,7,105,10,4,0,99,44,1,81,56,2,1,166,4,0,0,0,0,0,1,0,116,0,32,0,0,0,28,41,0,2,0,37,30,2,0,1,49,59,0,14,0,3,1,124
ASV365,0,11,0,112,0,0,0,0,0,42,0,0,8,0,248,0,47,0,0,0,334,0,0,259,0,0,61,0,0,0,0,0,0,0,0,0,62,47,0,0,53,0,0,0,126,0,0,0,0,0
ASV366,0,0,0,0,0,0,934,261,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,23,0,15,0,1,1,0,0,0
ASV367,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,155,0,0,0,0,0,7,0,532,0,0,0,96,174,58,0,0,38,0,0,0,0,0,0,0,0,7
ASV368,5,22,0,0,67,35,0,11,0,0,12,4,31,0,9,67,47,36,24,49,87,21,40,9,46,122,40,42,106,9,0,6,16,4,4,9,16,53,30,0,12,29,10,1,46,0,3,28,24,39
ASV369,5,32,0,27,12,2,76,54,28,27,1,1,13,9,42,1,26,152,20,5,25,5,53,37,5,1,51,78,93,4,37,2,8,28,0,4,37,58,0,2,15,28,21,24,9,3,0,24,26,25
ASV370,18,0,0,60,54,160,198,248,119,0,0,0,0,32,38,0,0,40,0,0,0,0,0,0,0,0,40,97,0,0,0,0,0,0,5,0,0,0,0,0,0,0,36,0,0,68,0,0,32,99
ASV371,21,0,0,13,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,35,14,9,17,64,141,154,0,0,0,208,518,244
ASV372,0,45,4,0,54,55,0,20,12,2,0,22,0,0,0,0,0,0,1,15,90,168,46,9,0,0,0,0,0,0,67,152,8,0,0,8,169,17,2,0,49,26,4,0,93,7,12,0,19,44
ASV373,0,0,0,0,0,56,0,16,34,0,0,44,0,25,2,0,0,0,10,0,0,0,0,0,48,435,6,6,170,0,0,61,0,0,0,0,62,58,3,0,0,30,0,46,0,16,0,0,0,0
ASV374,12,45,0,41,48,9,10,8,31,10,48,7,21,25,13,16,54,12,4,4,35,61,38,23,14,68,26,7,10,9,10,64,56,80,0,31,23,40,22,4,2,45,105,71,4,30,3,26,25,81
ASV375,11,41,0,0,58,34,18,79,43,54,27,44,0,26,24,0,48,117,0,0,56,8,0,0,36,42,11,86,20,22,0,20,35,0,1,8,21,17,39,0,23,7,0,30,4,45,0,8,15,0
ASV376,21,4,1,0,47,85,6,63,54,28,8,2,57,1,68,6,9,19,5,122,26,115,39,53,4,13,66,26,9,50,19,0,6,73,0,33,18,8,6,0,7,23,7,14,0,11,10,34,10,24
ASV377,0,0,0,0,20,0,11,95,32,95,1,20,34,1,5,134,5,16,0,0,1,42,0,2,0,129,0,0,0,3,10,112,45,60,0,10,20,57,16,5,1,2,92,14,5,9,3,8,5,3
ASV378,13,1,0,20,39,44,0,23,0,24,5,0,3,54,31,0,0,0,1,88,0,0,17,40,23,6,0,1,15,0,0,0,82,21,0,18,17,33,127,7,38,15,26,35,137,12,13,28,53,131
ASV379,16,10,0,96,15,96,92,77,0,0,0,89,54,39,72,0,11,0,0,0,0,0,0,0,0,120,0,1,0,0,0,0,0,0,0,59,143,0,81,3,12,18,27,0,109,31,10,75,27,21
ASV380,26,15,0,51,28,102,17,19,0,55,0,2,21,1,3,0,0,129,0,0,262,31,1,0,0,36,9,73,0,0,0,68,44,22,1,133,1,10,0,0,2,24,12,0,35,2,6,0,19,0
ASV381,1,78,0,47,0,126,3,19,24,0,0,11,66,126,6,0,167,0,46,0,64,1,33,0,12,2,4,111,21,44,79,0,3,19,2,31,0,63,36,0,1,33,15,3,0,3,3,13,10,7
ASV382,19,6,0,2,4,102,2,12,9,5,45,28,1,84,0,21,116,0,27,3,0,28,0,0,108,120,0,61,61,14,128,0,26,69,1,24,9,23,46,0,0,0,45,0,62,4,10,22,4,3
